來賓,出場次數,單位（合併）
王振昌,1,金屬中心海洋職能科技發展組副組長
柯文立經理,1,大立淨零建築有限公司
紀昊昀,1,中國科技大學建築系助理教授
陳宣誠,1,中原大學建築系教授
戴輝煌,1,國立高雄科技大學海商學院院長
羅文正,1,中華民國儀器商業同業公會全國聯合會榮譽理事長
李憶甄,1,國立高雄科技大學水產食品科學系副教授
王御風,1,國立高雄科技大學博雅教育中心副教授
潘郁仁,1,國立高雄科技大學供應鏈管理系教授兼系主任
邱國勛,1,國立高雄科技大學水產養殖系教授
侯清賢,1,國立高雄科技大學副教授兼永續漁業發展研究中心主任
何秉燦,1,國立高雄科技大學觀光管理系副教授兼系主任
張瑛姿,1,國立高雄科技大學博雅教育中心助理教授
黃俊夫,1,國立科學工藝博物館蒐藏研究組副研究員
許德賢,1,高科大海洋生物技術系教授
曾文瑞,1,中華民國保險經營學會副理事長
林家民,1,高科大水產食品科學系教授
蔡世鴻,1,古典吉他演奏家
鄭人豪,1,文化大學建築及都市設計學系助理教授
劉家豪,1,萬有為建築師事務所規劃設計師
曾應鉅,1,中華民國水中運動協會榮譽理事長
蔡文沛,1,國立高雄科技大學漁業科技與管理系教授
劉琬琳,1,景安設計有限公司導演
黃耀霆 導演,1,
簡崇曜醫師,1,成大醫院神經科部主治醫師
朱宏昌,1,財團法人高雄市愛樂文化藝術基金會執行長
林彥穎,1,十彥建築事務所建築師
高崇瑋,1,聖島國際專利商標聯合事務所專利師
林典永,1,金屬工業研究中心銲接組副組長
王蔓甄,1,台灣微軟公共業務事務群教育業務經理
歐士輔,1,國立高雄科技大學教務長
楊春陵,1,國立高雄科技大學輪機工程系系主任
羅文言,1,船舶中心海洋產業處副處長
林百鴻,1,高雄市立左營高級中學校長
李孟娟,1,國立高雄科技大學化材系副教授
張嘉修,1,東海大學化工與材料工程系講座教授兼副校長
龍裕鴻,1,藝本事有限公司總監
林柏帆,1,超然永續設計顧問有限公司執行長
謝仲凱,1,拾五設計 Atelier Boter創辦人
鄭有容,1,國立高雄科技大學漁業科技與管理系系主任
賴堅戊,1,國家海洋研究院 GoOcean 小組研究員
廖婉茹,1,國立高雄科技大學營建工程系副教授兼副教務長
薛博文,1,高科大機電工程系副教授兼創新創業發展處處長
郭俊賢,1,國立高雄科技大學副校長
郭振華,1,臺灣大學工程科學及海洋工程學系教授
傅耀賢,1,國立臺南大學特聘教授兼環境與生態學院院長
郭志忠,1,臺灣卡固高食品模型有限公司創始人
張勃鈞,1,淞鉞國際有限公司總經理
黃勤芳,1,獨立製作人及創作者
陳聖文,1,摯陞數位科技執行長
楊文榮,1,國家海洋研究院助理研究員
王建甯,1,溜馬科技有限公司總經理
黃振聰,1,中山大學財務管理系教授
陳裕元,1,智齡科技多田事業處總經理
陳彥銘,1,高雄科技大學資訊管理系教授
蔣天華,1,樹德科大電競娛樂系副主任
黃雅玲,1,高科大教授兼擴散耦策展人
何宗漢,1,高科大化材系教授
吳淑靖,1,臺灣產學策進會副執行長
姚木川,1,AI金融科技協會理事長
陳峙霖,1,成創永續股份有限公司總經理
蘇國瑋,1,中華民國人因工程學會理事長
卓紋君,1,國立高雄師範大學諮商心理與復健諮商研究所教授兼所長
徐偉智,1,社團法人台灣數位經濟發展學會理事長
陳建中,1,輔英科技大學環境工程與科學系暨碩士班教授
葉旻鑫,1,國立臺灣科技大學化學工程系副教授
王致傑,1,國立中山大學材料與光電科學學系副教授
蘇中和教授,1,樹德科技大學副校長
殷聖楷,1,正修科技大學數位多媒體設計系副教授兼系主任
龐大成,1,國立高雄科技大學教授兼車輛工程系系主任
周顯光,1,財團法人船舶暨海洋產業研發中心執行長
張鴻斌,1,財團法人中衛發展中心南區服務處處長
蔡坤穆,1,國立高雄科技大學運籌管理系教授
魏裕珍,1,高科大金融系副教授兼主任秘書
尤若弘,1,高科大海洋休閒管理系教授兼系主任
趙健樺,1,高雄市自行車文化協會理事長
劉怡辛高雄市港都社區大學老師,1,
許瀠心,1,優旭資通有限公司產業輔導顧問
程子桓,1,立創光電股份有限公司總經理
許維綸博士Meta-Rosetta前瞻超穎光學研發團隊負責人,1,
王智明,1,國立中央大學光電科學與工程學系教授
陳永賢,1,中華民國物流協會推薦資深顧問
劉文宏,1,高科大海洋事務研究中心主任
俞克維,1,國立高雄科技大學特聘教授兼副校長
楊清喬,1,國立高雄科技大學航運管理系教授
游明龍,1,游明龍設計有限公司藝術總監
侯柏安,1,台灣吉而好股份有限公司營運長
宋毅仁,1,國立高雄科技大學工業設計系系主任
簡嘉論,1,高雄市文化局主任秘書
羅條原,1,思原生態農場負責人
邱宏祥,1,財團法人中國生產力中心協理
林沐德,1,神速科技股份有限公司總經理
李法憲博士,1,法憲有機農場負責人
周光春,1,科技園區電電公會理事長
黃祥麟,1,微光國際資訊執行長
王錦榮,1,高雄港務分公司總經理
吳忠信,1,國立高雄科技大學化學工程與材料工程系教授兼副校長
殷豪,1,金利食安科技股份有限公司總經理
王勁力,1,國立高雄科技大學管理學院副院長
姜自壯,1,迪菲循飛航科技股份有限公司執行長
蔡旭程,1,士盟科技股份有限公司協理
林献棠,1,虎門科技股份有限公司中南部業務副總
謝琦鈦,1,威翔航空科技股份有限公司副總經理
張世承,1,玉山之翼股份有限公司董事長
趙緯宥,1,喜劇開港創辦人
楊瑾雯,1,南部資深劇場導演/果陀劇場種籽學院講師
簡文彬,1,衛武營國家藝術文化中心藝術總監
張文昇,1,工研院綠能所低碳與儲能技術組組長
林若蓁,1,台灣經濟研究院研究一所副所長/台灣氫能與燃料電池夥伴聯盟執行長
周哲平,1,鐙鋒綠能科技股份有限公司創辦人兼副總經理
郭振坤,1,中山大學機械與機電工程學系教授
楊青晏,1,艾涅爾電力股份有限公司總經理
吳心恩,1,EnergyOMNI全・能源-期刊創辦人
《EnergyOMNI全・能源》期刊創辦人吳心恩,1,
愛吠的狗娛樂公司執行長許冠文,1,
勝典科技資深經理林育駿,1,
呂正華,1,數位發展部數位產業署署長
魯臺營,1,德恩能源股份有限公司執行董事
甘浩成,1,鞍泰智造專案經理
李虹萱,1,健群永續創新股份有限公司經理
林靖祐,1,凌聚農業科技股份有限公司總經理
李錦昌,1,藏識科技有限公司副總經理
林仲宇,1,宇鼐科技股份有限公司總經理
胡耀傑,1,圖靈證書創辦人
翟治平,1,國立高雄科技大學人文社會學院院長
吳文良,1,新北市廣告工程商業同業公會前理事長
馮建彰,1,FREES創辦人/科技展演藝術策展人
林國慶,1,魔翻文創品牌創辦人
沈妙姿,1,高雄港區土地開發公司董事長
黃淑美,1,高雄市輪船股份有限公司董事長
呂錦隆,1,國立高雄科技大學航運管理系教授
劉建邦,1,高雄市交通局副局長
張志毓,1,台灣清潔用品工業同業公會榮譽理事長
萬書彣,1,國立成功大學微生物及免疫研究所助理教授
尤俊宗,1,高雄市直轄市醫療器材商業同業公會理事長
馬瑞彣,1,優尼克生技股份有限公司董事長
黃稚評,1,臺灣區不織布工業同業公會秘書長
林文和,1,墾丁國家公園管理處處長
白詠維,1,中華民國全國航空業總工會理事長
周文彬,1,高雄市旅館商業同業公會理事長
鄭侃馨,1,開馨旅遊品牌創辦人
鄒佩菁,1,楠梓國小主任
李欣芸,1,高雄流行音樂中心執行長
侯智耀,1,國立高雄科技大學水產食品科學系 副教授
江宗澤,1,芳成工業總經理
俞潔如,1,鼎新電腦股份有限公司金屬暨製造事業部經理
吳志康,1,國立高雄科技大學觀光管理系系主任
陳佳源,1,高雄市自行車商業同業公會總幹事
康哲榮,1,明安國際企業股份有限公司運動休閒產品事業處營業部副理
張志成,1,國立高雄大學運動健康與休閒學系系主任
許冠文,1,愛吠的狗娛樂股份有限公司執行長
彭彥倫,1,智崴資訊董事長特助暨營運中心總監
李志清,1,Taiwan Drone 100 臺灣希望創新股份有限公司創辦人暨執行長
郭建男,1,好玩客國際有限公司執行長
林相達,1,社團法人台灣連鎖加盟促進協會高雄分會會長/龍達化妝品公司總經理
陳昱蓁,1,高雄榮總生殖醫學中心醫師
陳吉龍,1,社團法人高雄市牙醫師公會常務理事
趙志崑,1,高雄市政府觀光局觀光行銷科股長
徐造華,1,台灣電力公司副總經理
魏嘉宏,1,亞灣5G AIoT專案辦公室資深副主任
字維新,1,光禹國際數位娛樂開發股份有限公司董事長
蕭俊彥,1,國立高雄科技大學運籌管理系副教授
林炫佑,1,財團法人電信技術中心副執行長
林洵賢,1,柏文健康事業股份有限公司事業發展處副總經理
馬堅勇,1,光洋應用材料科技股份有限公司董事長
朱福政,1,技嘉科技股份有限公司永續發展辦公室/行政部資深處長
賴樹鑫,1,社團法人台灣永續供應協會理事長
李慶璿,1,高雄市青年局創業輔導科科長
吳瑞川,1,高雄市工務局副局長
朱木生,1,行政院農業委員會林務局屏東林區管理處副處長
莊劍偉,1,Rainmaking盛宇創新執行長
周至宏,1,人工智慧產學研聯盟共同召集人/國立高雄科技大學電機工程系講座教授
劉淑芬,1,高雄市數位產業發展協會理事長
李信達,1,高雄市觀光局行銷科科長
林國平,1,行政院農委會漁業署 副署長
艾和昌,1,教育部南部太陽能學校執行長
吳佩城,1,高雄市政府火災預防科 科長
林世豪,1,達德能源股份有限公司技術總監
林秋豐,1,金屬工業研究發展中心執行長
許孟祥,1,國立高雄科技大學資訊管理系特聘教授
董瑞斌,1,高雄銀行董事長
劉俊傑,1,高雄市政府資訊中心主任
鄭宗宜,1,汎思數據股份有限公司監察人暨共同創辦人
王超群,1,台北市電腦公會-台灣5G垂直應用聯盟會長
高鎮遠,1,高雄市經發局副局長
蕭祈宏,1,國家通訊傳播委員會
張國明,1,高雄港務分公司總經理
劉繼傳,1,經濟部加工出口區管理處副處長
王正一,1,高雄市農業局代理局長
黃登福,1,高雄市政府海洋局局長
羅達生,1,高雄市副市長
